,Closing,RSI,MACD,BB,SMA1,SMA2,Decision
346,7.0,Hold,Sell,Sell,Buy,Buy,No
347,6.896,Hold,Sell,Sell,Buy,Buy,No
348,6.63,Hold,Sell,Sell,Buy,Buy,No
349,6.492000000000001,Hold,Sell,Sell,Buy,Buy,No
350,6.617999999999999,Hold,Sell,Sell,Buy,Buy,No
351,6.688,Hold,Sell,Sell,Buy,Buy,No
352,6.718,Hold,Sell,Sell,Buy,Buy,No
353,6.45,Hold,Sell,Sell,Buy,Buy,No
354,6.4479999999999995,Hold,Sell,Sell,Buy,Buy,No
355,6.532,Hold,Sell,Sell,Buy,Sell,No
356,6.632000000000001,Hold,Sell,Sell,Buy,Sell,No
357,6.632000000000001,Hold,Sell,Sell,Buy,Sell,No
358,6.388,Hold,Sell,Sell,Buy,Sell,No
359,6.364,Hold,Sell,Sell,Buy,Sell,No
360,6.582000000000001,Hold,Sell,Sell,Buy,Sell,No
361,6.6979999999999995,Hold,Sell,Sell,Buy,Sell,No
362,6.667999999999999,Hold,Sell,Sell,Buy,Sell,No
363,6.626,Hold,Buy,Sell,Buy,Sell,No
364,6.756,Hold,Buy,Sell,Buy,Sell,No
365,6.787999999999999,Hold,Buy,Sell,Buy,Sell,No
366,6.492000000000001,Hold,Buy,Sell,Buy,Sell,No
367,6.3660000000000005,Hold,Sell,Sell,Buy,Sell,No
368,6.494,Hold,Sell,Sell,Buy,Sell,No
369,6.037999999999999,Hold,Sell,Sell,Buy,Sell,No
370,6.0120000000000005,Hold,Sell,Sell,Buy,Sell,No
371,6.5920000000000005,Hold,Sell,Sell,Buy,Sell,No
372,6.45,Hold,Sell,Sell,Buy,Sell,No
373,6.0120000000000005,Hold,Sell,Sell,Buy,Sell,No
374,5.886,Hold,Sell,Sell,Buy,Sell,No
375,5.836,Hold,Sell,Sell,Buy,Sell,No
376,5.7139999999999995,Hold,Sell,Buy,Buy,Sell,No
377,5.5120000000000005,Buy,Sell,Buy,Buy,Sell,No
378,5.754,Hold,Sell,Buy,Sell,Sell,No
379,6.16,Hold,Sell,Sell,Sell,Sell,No
380,6.204,Hold,Buy,Sell,Sell,Sell,No
381,6.056,Hold,Buy,Sell,Sell,Sell,No
382,5.962000000000001,Hold,Buy,Sell,Sell,Sell,No
383,6.337999999999999,Hold,Buy,Sell,Sell,Sell,No
384,6.082000000000001,Hold,Buy,Sell,Sell,Sell,No
385,5.9,Hold,Buy,Sell,Sell,Sell,No
386,5.63,Hold,Buy,Buy,Sell,Sell,No
387,5.5760000000000005,Hold,Sell,Buy,Sell,Sell,No
388,5.582000000000001,Hold,Sell,Buy,Sell,Sell,No
389,5.843999999999999,Hold,Sell,Sell,Sell,Sell,No
390,5.7860000000000005,Hold,Sell,Sell,Sell,Sell,No
391,6.016,Hold,Buy,Sell,Sell,Sell,No
392,5.824,Hold,Buy,Sell,Sell,Sell,No
393,5.932,Hold,Buy,Sell,Sell,Sell,No
394,5.954,Hold,Buy,Sell,Sell,Sell,No
395,5.877999999999999,Hold,Buy,Sell,Sell,Sell,No
396,5.982,Hold,Buy,Sell,Sell,Sell,No
397,6.367999999999999,Hold,Buy,Hold,Sell,Sell,No
398,6.417999999999999,Hold,Buy,Hold,Sell,Sell,No
399,6.756,Sell,Buy,Hold,Sell,Sell,No
400,6.438,Hold,Buy,Hold,Sell,Sell,No
401,6.757999999999999,Hold,Buy,Hold,Sell,Sell,No
402,6.622000000000001,Hold,Buy,Hold,Sell,Buy,No
403,6.322,Hold,Buy,Sell,Sell,Buy,No
404,6.392,Hold,Buy,Hold,Sell,Buy,No
405,6.282,Hold,Buy,Sell,Sell,Buy,No
406,6.257999999999999,Hold,Buy,Sell,Sell,Buy,No
407,6.08,Hold,Sell,Sell,Sell,Buy,No
408,6.132000000000001,Hold,Sell,Sell,Sell,Buy,No
409,6.246,Hold,Sell,Sell,Sell,Buy,No
410,6.1979999999999995,Hold,Sell,Sell,Sell,Buy,No
411,6.297999999999999,Hold,Sell,Sell,Sell,Buy,No
412,6.254,Hold,Sell,Sell,Sell,Buy,No
413,6.3020000000000005,Hold,Sell,Sell,Sell,Buy,No
414,6.54,Hold,Buy,Hold,Sell,Buy,No
415,6.85,Sell,Buy,Hold,Sell,Buy,No
416,7.192,Sell,Buy,Hold,Sell,Buy,No
417,6.67,Hold,Buy,Hold,Sell,Buy,No
418,6.43,Hold,Buy,Sell,Sell,Buy,No
419,6.454,Hold,Buy,Sell,Sell,Buy,No
420,6.358,Hold,Sell,Sell,Sell,Buy,No
421,6.132000000000001,Hold,Sell,Sell,Sell,Buy,No
422,5.968,Hold,Sell,Sell,Sell,Buy,No
423,5.79,Hold,Sell,Sell,Sell,Buy,No
424,5.626,Buy,Sell,Sell,Sell,Buy,No
425,5.902,Hold,Sell,Sell,Sell,Buy,No
426,5.47,Hold,Sell,Buy,Sell,Buy,No
427,5.484,Hold,Sell,Buy,Sell,Buy,No
428,5.25,Buy,Sell,Buy,Sell,Sell,No
429,5.22,Buy,Sell,Buy,Sell,Sell,No
430,5.454,Hold,Sell,Sell,Sell,Sell,Yes
431,5.654,Hold,Sell,Sell,Sell,Sell,Yes
432,6.05,Hold,Sell,Sell,Sell,Sell,Yes
433,5.818,Hold,Sell,Sell,Sell,Sell,Yes
434,5.882000000000001,Hold,Buy,Sell,Sell,Sell,Yes
435,5.9879999999999995,Hold,Buy,Sell,Sell,Sell,Yes
436,6.234,Hold,Buy,Sell,Sell,Sell,Yes
437,5.8839999999999995,Hold,Buy,Sell,Sell,Sell,Yes
438,5.88,Hold,Buy,Sell,Sell,Sell,Yes
439,6.06,Hold,Buy,Sell,Sell,Sell,Yes
440,6.002000000000001,Hold,Buy,Sell,Sell,Sell,Yes
441,5.902,Hold,Buy,Sell,Sell,Sell,Yes
442,5.822,Hold,Buy,Sell,Sell,Sell,Yes
443,5.99,Hold,Buy,Sell,Sell,Sell,Yes
444,6.146,Hold,Buy,Sell,Sell,Sell,Yes
445,5.9,Hold,Buy,Sell,Sell,Sell,Yes
446,5.664,Hold,Buy,Sell,Sell,Sell,Yes
447,5.7379999999999995,Hold,Sell,Sell,Sell,Sell,Yes
448,5.682,Hold,Sell,Sell,Sell,Sell,Yes
449,5.682,Hold,Sell,Sell,Sell,Sell,Yes
450,5.704,Hold,Sell,Sell,Sell,Sell,Yes
451,5.627999999999999,Hold,Sell,Sell,Sell,Sell,Yes
452,5.587999999999999,Hold,Sell,Sell,Sell,Sell,Yes
453,5.71,Hold,Sell,Sell,Sell,Sell,Yes
454,5.87,Hold,Buy,Sell,Sell,Sell,Yes
455,5.474,Hold,Sell,Sell,Sell,Sell,Yes
